Huffman Codes are:
7/2 : 01101001111011010011111111111000000000000111011
1/9 : 01101001111011010011111111111000000000001
7/7 : 011010011110110100111111111110000000000100
15/10 : 0110100111101101001111111111100000000001010
7/4 : 011010011110110100111111111110000000000101100
7/3 : 0110100111101101001111111111100000000001011010
14/4 : 01101001111011010011111111111000000000010110110
10/7 : 01101001111011010011111111111000000000010110111000
11/1 : 011010011110110100111111111110000000000101101110010
11/5 : 0110100111101101001111111111100000000001011011100110
12/3 : 011010011110110100111111111110000000000101101110011100
12/6 : 0110100111101101001111111111100000000001011011100111010
13/2 : 01101001111011010011111111111000000000010110111001110110
13/3 : 011010011110110100111111111110000000000101101110011101110
13/7 : 0110100111101101001111111111100000000001011011100111011110
14/1 : 01101001111011010011111111111000000000010110111001110111110
14/5 : 011010011110110100111111111110000000000101101110011101111110
14/9 : 0110100111101101001111111111100000000001011011100111011111110
15/3 : 01101001111011010011111111111000000000010110111001110111111110
15/7 : 011010011110110100111111111110000000000101101110011101111111110
6/4 : 0110100111101101001111111111100000000001011011100111011111111110
6/5 : 0110100111101101001111111111100000000001011011100111011111111111
11/8 : 01101001111011010011111111111000000000010110111001111
10/6 : 01101001111011010011111111111000000000010110111010
10/10 : 011010011110110100111111111110000000000101101110110
11/4 : 0110100111101101001111111111100000000001011011101110
6/9 : 011010011110110100111111111110000000000101101110111100
12/5 : 0110100111101101001111111111100000000001011011101111010
6/7 : 01101001111011010011111111111000000000010110111011110110
13/6 : 0110100111101101001111111111100000000001011011101111011100
13/10 : 01101001111011010011111111111000000000010110111011110111010
12/10 : 011010011110110100111111111110000000000101101110111101110110
13/1 : 011010011110110100111111111110000000000101101110111101110111
13/5 : 0110100111101101001111111111100000000001011011101111011110
13/9 : 01101001111011010011111111111000000000010110111011110111110
14/8 : 0110100111101101001111111111100000000001011011101111011111100
15/2 : 01101001111011010011111111111000000000010110111011110111111010
15/6 : 011010011110110100111111111110000000000101101110111101111110110
12/8 : 0110100111101101001111111111100000000001011011101111011111101110
12/9 : 0110100111101101001111111111100000000001011011101111011111101111
14/3 : 011010011110110100111111111110000000000101101110111101111111
11/7 : 01101001111011010011111111111000000000010110111011111
9/8 : 011010011110110100111111111110000000000101101111
8/3 : 01101001111011010011111111111000000000010111
3/8 : 01101001111011010011111111111000000000011
1/10 : 011010011110110100111111111110000000001
7/10 : 01101001111011010011111111111000000001
4/3 : 0110100111101101001111111111100000001
12/4 : 011010011110110100111111111110000001
5/9 : 01101001111011010011111111111000001
11/2 : 0110100111101101001111111111100001
5/3 : 011010011110110100111111111110001
9/10 : 01101001111011010011111111111001
4/7 : 0110100111101101001111111111101
8/8 : 011010011110110100111111111111
2/8 : 011010011110110101
2/10 : 01101001111011011
2/3 : 011010011110111
4/2 : 0110100111110
1/5 : 0110100111111
3/1 : 01101010
1/3 : 011010110
2/2 : 011010111
1/2 : 011011
1/1 : 0111
0/3 : 10
0/2 : 11

The encoded string is:
